,Best_Asset,Correlation,Category
ETF 1 ,01/01/2018,1.0000000000000004,01/01/2018
ETF 2,01/01/2018,0.9704902565730829,01/01/2018
ETF 3,Unnamed: 6,0.9987017355215793,Unnamed: 6
ETF 4,01/01/2018,0.9491275928242693,01/01/2018
ETF 5,Unnamed: 5,0.9999997814324944,Unnamed: 5
ETF 6,01/01/2018,0.9802605302905293,01/01/2018
ETF 7,Unnamed: 10,0.9858321860830921,Unnamed: 10
ETF 8,Unnamed: 13,0.7529909334435976,Unnamed: 13
ETF 9,01/01/2018,0.9416236104161622,01/01/2018
ETF 10,Unnamed: 12,0.9999999999999977,Unnamed: 12
ETF 11,Unnamed: 8,0.9999999999999989,Unnamed: 8
ETF 12,Unnamed: 2,0.9999990945465892,Unnamed: 2
ETF 13,Unnamed: 3,0.6955888544635074,Unnamed: 3
ETF 14,Unnamed: 4,0.9706131228835103,Unnamed: 4
ETF 15,Unnamed: 8,0.8444441205240955,Unnamed: 8
ETF 16,01/01/2018,0.998398866759644,01/01/2018
ETF 17,01/01/2018,0.9429485166668481,01/01/2018
ETF 18,01/01/2018,0.964574653689096,01/01/2018
ETF 19,01/01/2018,0.9991042181533203,01/01/2018
ETF 20,Unnamed: 8,0.7737897448012567,Unnamed: 8
ETF 21,Unnamed: 6,0.42122648659875755,UNKNOWN/FORGOTTEN
ETF 22,01/01/2018,0.9536187650946264,01/01/2018
ETF 23,01/01/2018,0.9907395700395651,01/01/2018
ETF 24,Unnamed: 4,0.9712057735788645,Unnamed: 4
ETF 25,Unnamed: 4,0.9742177150276569,Unnamed: 4
ETF 26,Unnamed: 9,0.9960211099465399,Unnamed: 9
ETF 27,Unnamed: 4,1.0000000000000018,Unnamed: 4
ETF 28,01/01/2018,0.9405884039221337,01/01/2018
ETF 29,01/01/2018,0.9784046093592231,01/01/2018
ETF 30,Unnamed: 6,1.000000000000002,Unnamed: 6
ETF 31,01/01/2018,0.8733656730804235,01/01/2018
ETF 32,01/01/2018,0.9996196800582782,01/01/2018
ETF 33,01/01/2018,0.9977276995881912,01/01/2018
ETF 34,Unnamed: 8,0.7159215422250113,Unnamed: 8
ETF 35,Unnamed: 11,0.9999999999612273,Unnamed: 11
ETF 36,Unnamed: 12,0.743913119470156,Unnamed: 12
ETF 37,Unnamed: 4,0.7943414774362421,Unnamed: 4
ETF 38,01/01/2018,0.8751491721166251,01/01/2018
ETF 39,Unnamed: 10,0.8255651055613976,Unnamed: 10
ETF 40,01/01/2018,0.9443811557496748,01/01/2018
ETF 41,Unnamed: 4,0.9565911675550945,Unnamed: 4
ETF 42,Unnamed: 6,0.9536233419017801,Unnamed: 6
ETF 43,Unnamed: 10,0.9641482124826999,Unnamed: 10
ETF 44,Unnamed: 7,0.8278655312826542,Unnamed: 7
ETF 45,Unnamed: 8,0.8020857819447139,Unnamed: 8
ETF 46,Unnamed: 10,0.48857434704951236,Unnamed: 10
ETF 47,Unnamed: 4,0.9741053944864262,Unnamed: 4
ETF 48,Unnamed: 11,0.5074182428484177,Unnamed: 11
ETF 49,01/01/2018,0.9189247683826998,01/01/2018
ETF 50,01/01/2018,0.9427792069570402,01/01/2018
ETF 51,Unnamed: 4,0.9706012635608017,Unnamed: 4
ETF 52,01/01/2018,0.95141114362848,01/01/2018
ETF 53,Unnamed: 2,0.9776186526478061,Unnamed: 2
ETF 54,Unnamed: 4,0.9522658481681038,Unnamed: 4
ETF 55,Unnamed: 4,0.9243550912702218,Unnamed: 4
ETF 56,Unnamed: 4,0.8110075482258439,Unnamed: 4
ETF 57,Unnamed: 10,0.9844857450765359,Unnamed: 10
ETF 58,01/01/2018,0.9977511274034512,01/01/2018
ETF 59,01/01/2018,0.9672382099733826,01/01/2018
ETF 60,Unnamed: 4,0.9940914728148675,Unnamed: 4
ETF 61,Unnamed: 8,0.89901235797126,Unnamed: 8
ETF 62,01/01/2018,0.977784318934625,01/01/2018
ETF 63,01/01/2018,0.9445491648316189,01/01/2018
ETF 64,Unnamed: 12,0.012535589072535866,UNKNOWN/FORGOTTEN
ETF 65,Unnamed: 10,0.9227583687795218,Unnamed: 10
ETF 66,Unnamed: 4,0.9798586481345222,Unnamed: 4
ETF 67,01/01/2018,0.9446038993332933,01/01/2018
ETF 68,01/01/2018,0.9650287464270303,01/01/2018
ETF 69,Unnamed: 2,0.8425014618658793,Unnamed: 2
ETF 70,Unnamed: 10,0.8392240041151805,Unnamed: 10
ETF 71,Unnamed: 4,0.970365460523858,Unnamed: 4
ETF 72,Unnamed: 11,0.030277649372417177,UNKNOWN/FORGOTTEN
ETF 73,Unnamed: 6,0.7665356721726446,Unnamed: 6
