,Ann_Return,Volatility,Sharpe,Sortino,Max_Drawdown,VaR_95,CVaR_95,Cluster
ETF 1 ,0.14607171040813802,0.20482865737680384,0.7131409846593085,0.8288544846283639,-0.3600953418832246,-0.01806401455259629,-0.03156057965456135,0
ETF 2,0.12600522988578,0.17530742019645434,0.7187672361191275,0.8319586929571061,-0.35543288282146207,-0.015607191066020536,-0.02672825824615028,5
ETF 3,0.05319393293793626,0.16526997122054699,0.32186084710422574,0.41392861245994017,-0.3840907414572092,-0.01577530309556499,-0.024846722672369696,5
ETF 4,0.11637062547096125,0.16429390209598146,0.7083076364147517,0.814309631947471,-0.3505610372695663,-0.014466586816689771,-0.02485802473402405,5
ETF 5,0.07726927820772822,0.16946123724625595,0.4559702234171868,0.514049826353515,-0.35371903769681745,-0.015512991738944241,-0.027285271046091478,5
ETF 6,0.14855547473250938,0.20403043542955748,0.7281044831362863,0.854409980506163,-0.35381841807472314,-0.01787499277429257,-0.031069135770020836,0
ETF 7,0.0020667649178437884,0.03929545982484803,0.052595514266940674,0.06624117804590769,-0.1745262708259527,-0.003597719337421251,-0.00596970616015344,1
ETF 8,0.11447925226324566,0.14670180591930337,0.7803533947374687,1.0537973030855379,-0.2331531450463496,-0.013948557920349153,-0.021087350064150953,5
ETF 9,0.15519416291782312,0.20712707607737174,0.7492702830404016,0.8739983246345765,-0.3591942005343853,-0.018489074496806313,-0.03196306736805066,0
ETF 10,0.01895640918715252,0.08241350503027015,0.23001581088184403,0.24270526584778487,-0.2924998809309493,-0.0069374951629679145,-0.012619073963129094,1
ETF 11,0.022790166188382185,0.08672973197164684,0.26277224280864386,0.3264233844517091,-0.2542271636091829,-0.008320564955531592,-0.012784728812861211,1
ETF 12,0.1999872343861985,0.24863334573537624,0.8043459890494639,1.0042337355328945,-0.38666192064652,-0.025132706034998176,-0.037664618949358145,0
ETF 13,0.10850135848732527,0.2837822695896668,0.3823401604484034,0.5122900220844236,-0.6431939748075239,-0.025442081157197725,-0.04125030206676688,0
ETF 14,0.10320359777989696,0.16941099086850822,0.6091906862170503,0.6799477399918683,-0.36369218873004544,-0.015596871706332888,-0.027022097809899105,5
ETF 15,0.022504837988645925,0.024291628985313327,0.9264441673406221,1.130156455549186,-0.0764026455617609,-0.0021469786756013287,-0.0036550695953813973,4
ETF 16,0.14310125943049368,0.20800901125100874,0.6879570196014752,0.8052202237521623,-0.35859517758079185,-0.018888779490210755,-0.03201715875334389,0
ETF 17,0.12747939181640267,0.17122086970399605,0.7445318554729166,0.8847387588994141,-0.3360076979004392,-0.015112725409600928,-0.025554047926373828,5
ETF 18,0.12731563228975237,0.16148689511905326,0.7883960627015044,0.8899964568333383,-0.3379390566616705,-0.014207623226507891,-0.024628734007932203,5
ETF 19,0.14635349970963735,0.20720101945823946,0.7063358090240204,0.8194601553341978,-0.3633453880626164,-0.01805195701771304,-0.03197456771954885,0
ETF 20,-0.008087477117180433,0.056051442768362776,-0.14428668947207302,-0.1987939326907533,-0.25879710275614537,-0.005708338739104032,-0.008194426374048928,1
ETF 21,0.03302785484277716,0.04384538060363541,0.7532801491986292,1.094704506449029,-0.11203444669297712,-0.004202048548132527,-0.006105853929266765,4
ETF 22,0.11699966327013821,0.1664250610373108,0.7030170969497681,0.8081247064144955,-0.3510683722825123,-0.014857480470549887,-0.025188877323996377,5
ETF 23,0.1597336390153255,0.21331280227553034,0.7488234991587701,0.8875466343252251,-0.36329252135363516,-0.01925545527361397,-0.032640821003838714,0
ETF 24,0.10410772213880184,0.17003903868458445,0.6122577670644062,0.684635797825909,-0.3646013717206243,-0.015754346441367962,-0.027142966041288148,5
ETF 25,0.09558598349204181,0.2020526893151297,0.47307454217034434,0.5572161322397393,-0.39985261941422356,-0.01835693843569431,-0.031496471525320244,5
ETF 26,0.04545554495768157,0.07078135255974653,0.6421966141338222,0.668136946727317,-0.2233494323910208,-0.005799115718933183,-0.010640422271717109,1
ETF 27,0.11836270576948996,0.20089966415379895,0.5891632834133425,0.6817819535262096,-0.3954820016759536,-0.018201835103876043,-0.031563147491097246,0
ETF 28,0.13512788419520358,0.1706641668809197,0.7917765437514986,0.8953359461969687,-0.35339679173187305,-0.015070568740082516,-0.02650722108082302,5
ETF 29,0.1453036012627114,0.2072745648348691,0.701019931598802,0.8282591011736039,-0.35656688063296177,-0.01847861502008237,-0.031468553360539636,0
ETF 30,0.04711023076013246,0.1691502623583684,0.2785111303009562,0.36646977790734003,-0.4058687714103443,-0.016155084348098973,-0.02515538362208109,5
ETF 31,0.09039949389813243,0.20344684909240643,0.4443396115565918,0.5297708693214798,-0.38620968448359033,-0.017921102883284218,-0.030279079541639563,5
ETF 32,0.12312180535915782,0.20531252006347148,0.599679967500741,0.7003773031517448,-0.36702612136562845,-0.018218941344198727,-0.0317880985435988,0
