,Weight_Est,Mean_Boot,Std_Dev,CI_Low_5%,CI_High_95%
ETF 31,0.179416335814671,0.17912065018191714,0.0023400664129044103,0.17498765888111772,0.18266253252639636
ETF 40,0.15908899527063036,0.15681413024808882,0.0030516332141232233,0.1509224320049495,0.16107259299114063
ETF 53,0.1348998198357332,0.13486104993630738,0.0019785423019487445,0.13126136574225086,0.13781373747433162
ETF 72,0.10722228421419798,0.10671877745098099,0.011355890394728582,0.09070586748794708,0.12780265928161788
ETF 8,0.08904930261853457,0.08902700226161005,0.0013857322527617642,0.08633462038368961,0.09099462484838906
ETF 11,0.08550314189485615,0.08537576759543748,0.002961814252258941,0.08007691631121305,0.08990206385719748
ETF 5,0.044675507582197176,0.04439850192886074,0.0006139373895090042,0.043402499838795676,0.04536959733130216
ETF 34,0.0446166076792624,0.044558868006984366,0.0018748324618943107,0.04131311267277726,0.04750062501016579
ETF 102,0.044454344098373816,0.04422105659000668,0.0006935927466175523,0.04297273178245742,0.04522826616677296
ETF 1 ,0.03730879255564311,0.029183890333676177,0.011613698625199384,0.0,0.04096976692390801
ETF 10,0.0331957585697681,0.034090297202409796,0.012705843848552337,0.006540794108292477,0.04484843059462363
ETF 47,0.01743609672574312,0.017382572438293217,0.000960732831924289,0.015793359046877578,0.018822421310423408
ETF 103,0.009804686449644637,0.008684961286438468,0.01213942330132342,0.0,0.034741480624313766
ETF 45,0.004093677606257776,0.0029263006738667456,0.0024210564728420203,0.0,0.007545343805242622
ETF 58,0.002941063761233885,0.003663846989769706,0.003215822068374701,0.0,0.009415756139820633
ETF 83,0.0014700035457380595,0.0015497866514843678,0.0014805350183880724,0.0,0.004296208641773412
ETF 27,0.001133164414927579,0.0008759184087798517,0.0009300818772300931,0.0,0.0025639336428100864
ETF 62,0.0010995459594857918,0.0011286973350627936,0.0012697408721720647,0.0,0.0037717349865526136
ETF 61,0.0009601322618245469,0.0023076928087935166,0.0033575330968561236,0.0,0.009224178226138873
ETF 21,0.0009435972164629694,0.0009274304233626015,0.0007217029678047751,0.0,0.002323165328450009
ETF 101,0.00022421511856509694,0.00047230611451789617,0.000567045065000877,0.0,0.0015861038824237716
ETF 69,0.00021899584224087992,0.0002652527054810241,0.0004122910017104413,0.0,0.001160639361716191
ETF 99,0.000103404016884958,0.000600094393534758,0.0008041872516174699,0.0,0.002205051059097062
ETF 13,6.612487608564223e-05,7.135082129848687e-05,9.825070328259178e-05,0.0,0.0002799651026725678
ETF 88,4.2256623369475915e-05,0.00021195841364559035,0.00024722263280474346,0.0,0.0007076733106031216
ETF 66,3.214544766763741e-05,0.00029115089554898843,0.0004555330640915661,0.0,0.0012850678476526195
ETF 74,0.0,0.0,0.0,0.0,0.0
ETF 78,0.0,0.0,0.0,0.0,0.0
ETF 79,0.0,7.452334056026216e-07,1.007700367332748e-05,0.0,0.0
ETF 77,0.0,6.673227812543877e-05,0.0003833402237010997,0.0,2.51520154541419e-05
ETF 76,0.0,5.461100977690519e-07,1.2211393018106566e-05,0.0,0.0
ETF 75,0.0,1.8480048271985428e-05,5.9470491654114886e-05,0.0,0.0001394969451971547
ETF 70,0.0,3.2587483073282256e-07,4.9240949597754214e-06,0.0,0.0
ETF 73,0.0,0.0001479550130615317,0.00026817843926569716,0.0,0.000788074120656569
ETF 4,0.0,0.0,0.0,0.0,0.0
ETF 71,0.0,0.0,0.0,0.0,0.0
ETF 81,0.0,2.556065741431312e-06,3.169940623646531e-05,0.0,0.0
ETF 68,0.0,0.0,0.0,0.0,0.0
ETF 67,0.0,0.0,0.0,0.0,0.0
ETF 65,0.0,0.0,0.0,0.0,0.0
ETF 64,0.0,0.0,0.0,0.0,0.0
ETF 80,0.0,4.638775877960863e-06,0.0001037261819550676,0.0,0.0
ETF 85,0.0,0.0,0.0,0.0,0.0
ETF 82,0.0,1.597929858252698e-05,6.68693578495038e-05,0.0,0.00011487292828952062
ETF 84,0.0,1.6171020264167464e-06,2.55680261895056e-05,0.0,0.0
ETF 104,0.0,0.0,0.0,0.0,0.0
ETF 3,0.0,0.0,0.0,0.0,0.0
ETF 100,0.0,3.739367721919403e-05,0.00013454926547173875,0.0,0.0002951474743453868
ETF 98,0.0,0.00028940679935387224,0.00042298663376502557,0.0,0.0012023021159652493
ETF 97,0.0,8.97942661946663e-05,0.00018267618869496267,0.0,0.0005380117020187204
ETF 96,0.0,9.706514604275686e-06,3.2445826024973585e-05,0.0,8.700546726024413e-05
ETF 95,0.0,6.264478926162682e-06,5.953393971259251e-05,0.0,0.0
ETF 94,0.0,2.0266697911916164e-06,4.5317714210497594e-05,0.0,0.0
ETF 93,0.0,1.4095649309600408e-06,2.134895812887307e-05,0.0,0.0
ETF 92,0.0,0.0,0.0,0.0,0.0
ETF 91,0.0,4.928279636945003e-05,0.00025310894800229444,0.0,0.00014722191341826006
ETF 90,0.0,2.944133443510497e-06,3.655055437472786e-05,0.0,0.0
ETF 89,0.0,0.0,0.0,0.0,0.0
ETF 87,0.0,8.040065046929308e-07,1.2157956856275563e-05,0.0,0.0
ETF 86,0.0,0.0,0.0,0.0,0.0
ETF 63,0.0,0.0003476356186612703,0.0007836121384696767,0.0,0.0021963232676238753
ETF 16,0.0,0.0004284978676435218,0.0013403617235152132,0.0,0.003742901550789946
ETF 17,0.0,0.0001550251370931109,0.0006437850155509775,0.0,0.0010880288628612503
ETF 29,0.0,0.00017765782792251053,0.0005291777981528214,0.0,0.0014614934866773522
ETF 37,0.0,2.0173071800597115e-06,2.0820292883140287e-05,0.0,0.0
ETF 36,0.0,8.180470591049589e-05,0.00020552760444187594,0.0,0.000555173973129995
ETF 35,0.0,0.0,0.0,0.0,0.0
ETF 7,0.0,0.0,0.0,0.0,0.0
ETF 33,0.0,4.853293880595519e-05,0.00038488415680096517,0.0,0.0
ETF 32,0.0,0.004741123917938131,0.008413222589384308,0.0,0.024491548841883804
ETF 9,0.0,1.3216960607782891e-06,2.9554022374939475e-05,0.0,0.0
ETF 30,0.0,7.4609624100362784e-06,0.0001334702644267917,0.0,0.0
ETF 28,0.0,0.0,0.0,0.0,0.0
ETF 39,0.0,2.6101219235021026e-07,4.29905618886754e-06,0.0,0.0
ETF 26,0.0,0.0004194534961835765,0.0008683518644815617,0.0,0.002388103215079509
ETF 25,0.0,0.0,0.0,0.0,0.0
ETF 24,0.0,0.0,0.0,0.0,0.0
ETF 23,0.0,0.0008453202755968745,0.0013311954455458906,0.0,0.0038250924340850995
ETF 22,0.0,0.0,0.0,0.0,0.0
ETF 20,0.0,0.00012910432303606177,0.00043135885822932985,0.0,0.0011030678479213368
ETF 19,0.0,2.3239512255643318e-05,0.00028287618576371826,0.0,0.0
ETF 18,0.0,0.0,0.0,0.0,0.0
ETF 38,0.0,4.4753585099585654e-05,0.00019674510289676797,0.0,0.00024009493772251565
ETF 6,0.0,9.371739184663902e-05,0.00035813370616940784,0.0,0.0006493303811623566
ETF 60,0.0,0.0,0.0,0.0,0.0
ETF 51,0.0,0.0,0.0,0.0,0.0
ETF 59,0.0,0.0,0.0,0.0,0.0
ETF 12,0.0,0.0005404384138610156,0.0008008318254668796,0.0,0.0023500625144024442
ETF 57,0.0,0.0,0.0,0.0,0.0
ETF 56,0.0,8.243685404340938e-06,7.579920569945149e-05,0.0,0.0
ETF 55,0.0,0.00015339109928064838,0.00035526719109963713,0.0,0.0010162869272957499
ETF 54,0.0,4.541722228421877e-07,1.0155599637673144e-05,0.0,0.0
ETF 2,0.0,0.0,0.0,0.0,0.0
ETF 52,0.0,0.00019353537302067668,0.0005442741964947792,0.0,0.0016190322205478702
ETF 50,0.0,0.0006325638967596927,0.0015367700068295933,0.0,0.004101172464533865
ETF 41,0.0,0.0,0.0,0.0,0.0
ETF 49,0.0,0.00018041730732304732,0.000344130496556135,0.0,0.000969671342916863
ETF 48,0.0,1.3127874731021022e-05,0.00029354820298664776,0.0,0.0
ETF 14,0.0,0.0,0.0,0.0,0.0
ETF 46,0.0,0.0,0.0,0.0,0.0
ETF 15,0.0,2.7279375455866478e-05,0.00032210862848493704,0.0,0.0
